YearsProgr,PersonalProj,Gender,WorkType,Company,Supervising,Studies,RelativeComp,AnnualNetSalary,Employer,Employee,observation_count
15,Yes,Man,Hybrid,101to200,Yes,Bachelor,Yes,1900,Greece,Greece,2
12,Yes,Man,Onsite,1to10,Yes,Bachelor,Yes,13000,Abroad,Abroad,2
1,No,Man,Remote,11to50,No,Bachelor,Other,9400,Greece,Greece,2
1,No,Man,Hybrid,1to10,Yes,Bachelor,Yes,16000,Greece,Greece,1
1,No,Man,Onsite,51to100,No,Bachelor,Yes,900,Greece,Greece,2
1,Yes,Man,Hybrid,101to200,No,Master,Yes,17800,Greece,Greece,1
10,No,Man,Remote,1to10,No,Bachelor,Yes,35000,Greece,Greece,3
3,Yes,Man,Onsite,1to10,No,Bachelor,Yes,16900,NA,Greece,1
22,Yes,Man,Onsite,501plus,Yes,Master,Yes,26000,Greece,Greece,2
2,Yes,Man,Hybrid,11to50,No,Post-secondary Education,Yes,17500,Greece,Greece,2
2,Yes,Man,Hybrid,51to100,No,Master,Yes,755,Greece,Greece,1
1,No,Woman,Remote,1to10,No,Bachelor,Yes,10800,Greece,Greece,2
2,No,Woman,Hybrid,1to10,No,High School,Other,14420,Greece,Greece,1
40,No,Woman,Hybrid,501plus,Yes,PhD,Yes,10000,Abroad,Abroad,1
3,Yes,Man,Remote,11to50,No,Bachelor,Yes,14000,Abroad,Greece,1
2,Yes,Man,Remote,11to50,No,PhD,Yes,1000,Greece,Greece,3
6,Yes,Man,Remote,501plus,No,High School,Other,46500,Abroad,Abroad,2
2,Yes,Man,Remote,11to50,Yes,Post-secondary Education,Yes,14000,Greece,Greece,1
6,No,Man,Onsite,201to500,No,Bachelor,Yes,19000,Greece,Greece,4
6,No,Man,Hybrid,201to500,No,Master,Yes,20000,Greece,Greece,3
3,Yes,Man,Remote,1to10,No,Bachelor,Yes,15400,Greece,Greece,4
2,No,Man,Remote,101to200,No,Master,Yes,16100,Greece,Greece,2
2,Yes,Man,Hybrid,11to50,No,High School,Other,14000,Greece,Greece,3
2,No,Man,Remote,1to10,Yes,Bachelor,Yes,15120,Greece,Greece,2
6,No,Man,Remote,201to500,No,Master,Other,40000,Greece,Greece,2
2,No,Man,Onsite,201to500,No,Master,Yes,15600,NA,Greece,2
1,Yes,Man,Onsite,11to50,No,Bachelor,Yes,168,Greece,Greece,2
1,No,Man,Remote,51to100,No,Bachelor,Other,11200,Greece,Greece,2
5,No,Man,Hybrid,501plus,No,Master,Yes,17800,Greece,Greece,1
10,Yes,Man,Hybrid,501plus,No,Master,Other,41580,Abroad,Abroad,1
8,Yes,Man,Remote,501plus,No,Bachelor,Yes,1200,Greece,Greece,1
1,Yes,Man,Hybrid,501plus,No,Bachelor,Yes,14000,Greece,Greece,1
4,No,Man,Remote,101to200,No,Master,Yes,28000,Greece,Greece,1
3,No,Man,Remote,101to200,No,Master,Yes,20300,Greece,Greece,1
1,No,Man,Remote,101to200,No,Bachelor,Other,15400,Greece,Greece,1
2,No,Man,Remote,201to500,No,Bachelor,Yes,18200,Greece,Abroad,1
1,No,Man,Hybrid,501plus,No,Bachelor,Yes,14000,Greece,Greece,3
7,Yes,Man,Hybrid,1to10,No,Master,Yes,20000,Abroad,Abroad,2
7,Yes,Man,Remote,11to50,Yes,High School,Other,50000,Abroad,Greece,3
1,No,Man,Hybrid,51to100,No,Bachelor,Yes,8400,Greece,Greece,2
3,Yes,Man,Onsite,201to500,No,Bachelor,Yes,1300,Greece,Greece,4
3,No,Man,Hybrid,11to50,No,Master,Yes,32200,Greece,Greece,1
6,No,Man,Hybrid,101to200,Yes,Master,Yes,20160,Greece,Greece,1
2,Yes,Man,Hybrid,101to200,No,Bachelor,Yes,142,Greece,Greece,1
1,Yes,Man,Remote,11to50,No,Master,Yes,36000,Abroad,Greece,1
1,No,Man,Hybrid,501plus,No,Master,Yes,14209,Greece,Greece,3
1,No,Man,Remote,1to10,No,Bachelor,Yes,9600,Greece,Greece,2
8,No,Man,Hybrid,201to500,No,Bachelor,Yes,21182,Greece,Greece,1
5,No,Man,Hybrid,11to50,No,Bachelor,Yes,47000,NA,NA,2
23,Yes,Man,Hybrid,501plus,No,Master,Other,30000,Greece,Greece,1
2,No,Man,Hybrid,501plus,No,Bachelor,Yes,16600,Greece,Greece,1
1,Yes,Man,Onsite,11to50,No,Bachelor,Other,14000,Greece,Greece,1
3,Yes,Man,Hybrid,101to200,No,Bachelor,Yes,32928,Greece,Greece,1
1,No,Man,Hybrid,11to50,No,Master,Yes,32000,Abroad,Abroad,1
4,Yes,Man,Remote,101to200,No,Bachelor,Yes,27600,Greece,Greece,1
1,No,Man,Hybrid,201to500,No,Bachelor,Yes,14200,Greece,Greece,2
1,No,Man,Onsite,1to10,Yes,Bachelor,Yes,102,Greece,Greece,2
4,No,Man,Remote,501plus,No,Master,Yes,19600,Greece,Greece,2
5,Yes,Man,Hybrid,501plus,No,Bachelor,Yes,20000,Greece,Greece,1
23,No,Man,Onsite,1to10,Yes,Bachelor,Other,24000,Greece,Greece,1
10,Yes,Man,Hybrid,11to50,Yes,Bachelor,Yes,37000,Greece,Greece,5
13,Yes,Man,Remote,1to10,No,Bachelor,Other,18000,Greece,Greece,3
4,No,Man,Remote,501plus,Yes,Bachelor,Yes,24300,Greece,Greece,2
6,No,Woman,Hybrid,51to100,No,High School,Other,15500,Greece,Greece,1
